"timestamp","id device","error","num of message","previous timestamp difference","previous timestamp difference for this device"
"797763300","00440121","0","4","4233624","7000616.0"
"800529380","0063013D","0","70","2766080","6999704.0"
"804763924","00440121","0","5","4234544","7000624.0"
"807529092","0063013D","0","71","2765168","6999712.0"
"811762572","00440121","0","6","4233480","6998648.0"
"814528788","0063013D","0","72","2766216","6999696.0"
"821528492","0063013D","0","73","6999704",""
"828528196","0063013D","0","74","6999704",""
"835527900","0063013D","0","75","6999704",""
"837942836","00440121","0","0","2414936","6545066.0"
"841948484","","1","","4005648",""
"848948140","","1","","6999656",""
"855947780","00440121","0","3","6999640","9002472.0"
"862947404","","1","","6999624",""
"869947036","00440121","0","5","6999632","13999256.0"
"876946660","00440121","0","6","6999624",""
"883947268","00440121","0","7","7000608",""
"890947892","00440121","0","8","7000624",""
"897947524","","1","","6999632",""
"904947164","","1","","6999640",""
"911946796","00440121","0","11","6999632","10499452.0"
"918946412","00440121","0","12","6999616",""
"925947020","00440121","0","13","7000608",""
"932947652","00440121","0","14","7000632",""
"939947284","00440121","0","15","6999632",""
"946946924","00440121","0","16","6999640",""
"953946548","","1","","6999624",""
"960946188","00440121","0","18","6999640","13999264.0"
"967945820","00440121","0","19","6999632",""
"974945436","00440121","0","20","6999616",""
"981946044","00440121","0","21","7000608",""
"988945692","00440121","0","22","6999648",""
"996521068","0063013D","0","98","7575376","6999702.956521739"
"1003520772","0063013D","0","99","6999704",""
"1010520476","0063013D","0","100","6999704",""
"1017520180","0063013D","0","101","6999704",""
"1024519884","0063013D","0","102","6999704",""
"1028139932","00440121","0","0","3620048","7838848.0"
"1031519556","","1","","3379624",""
"1038519284","","1","","6999728",""
"1045518988","","1","","6999704",""
"1052518676","","1","","6999688",""
"1059518396","","1","","6999720",""
"1066517132","","1","","6998736",""
"1074145348","00440121","0","7","7628216","7667569.333333333"
"1081144956","00440121","0","8","6999608",""
"1088145588","00440121","0","9","7000632",""
"1095145220","00440121","0","10","6999632",""
"1102144836","00440121","0","11","6999616",""
"1109145452","00440121","0","12","7000616",""
"1116146076","","1","","7000624",""
"1121237460","0063013D","0","1","5091384","6908398.285714285"
"1123145692","00440121","0","14","1908232","7000120.0"
"1128237164","0063013D","0","2","5091472","6999704.0"
"1130146324","00440121","0","15","1909160","7000632.0"
"1135236868","0063013D","0","3","5090544","6999704.0"
"1137145940","00440121","0","16","1909072","6999616.0"
"1142236572","0063013D","0","4","5090632","6999704.0"
"1144146564","00440121","0","17","1909992","7000624.0"
"1151146204","00440121","0","18","6999640",""
"1158145836","00440121","0","19","6999632",""
"1165145468","00440121","0","20","6999632",""
"1172145100","00440121","0","21","6999632",""
